ID,Name,OVR,PAC,SHO,PAS,DRI,DEF,POS
209331,Mohamed Salah,91,89,88,86,90,45,RW
231747,Kylian Mbappé,91,97,90,81,92,37,"ST, LW"
231443,Ousmane Dembélé,90,91,88,83,93,50,"ST, RW, CAM"
231866,Rodri,90,65,80,86,84,86,"CDM, CM"
203376,Virgil van Dijk,90,73,60,72,72,90,CB
252371,Jude Bellingham,90,80,86,83,90,78,"CAM, CM"
239085,Erling Haaland,90,86,91,70,80,45,ST
233419,Raphinha,89,91,84,85,87,53,LW
235212,Achraf Hakimi,89,92,79,82,83,82,RB
277643,Lamine Yamal,89,85,81,86,90,23,RW
255253,Vitinha,89,72,80,86,90,75,"CM, CDM, CAM"
230621,Gianluigi Donnarumma,89,90,83,70,90,52,GK
251854,Pedri,89,77,73,85,91,78,"CM, CDM, CAM"
212622,Joshua Kimmich,89,72,74,89,84,83,"CDM, RB, CM"
212831,Alisson,89,86,85,86,89,56,GK
202126,Harry Kane,89,64,92,83,82,48,ST
239053,Federico Valverde,89,88,84,84,84,83,"CM, CDM, RB"
238794,Vini Jr.,89,95,84,81,91,29,"LW, ST"
256630,Florian Wirtz,89,80,82,88,90,54,"CAM, ST, CM"
192119,Thibaut Courtois,89,85,89,76,90,46,GK
188545,Robert Lewandowski,88,74,89,79,85,44,ST
231478,Lautaro Martínez,88,81,88,75,84,51,ST
233731,Alexander Isak,88,83,89,73,85,39,ST
256790,Jamal Musiala,88,80,82,80,90,66,"CAM, CM, ST"
232580,Gabriel,88,64,44,64,65,88,CB
246669,Bukayo Saka,88,84,82,85,88,60,RW
200389,Jan Oblak,88,85,90,78,87,46,GK
257534,Cole Palmer,87,75,83,87,87,50,"CAM, ST"
247635,Khvicha Kvaratskhelia,87,86,80,83,88,58,"LW, RW"
237383,Alessandro Bastoni,87,74,46,75,76,88,CB
215441,Serhou Guirassy,87,72,88,76,83,45,ST
192985,Kevin De Bruyne,87,66,83,92,84,65,"CM, CAM"
228702,Frenkie de Jong,87,82,71,85,87,78,"CM, CDM"
256079,Moisés Caicedo,87,71,64,78,81,84,"CDM, CM"
234378,Declan Rice,87,72,73,84,80,83,"CDM, CM"
207865,Marquinhos,87,78,56,75,74,89,CB
177683,Yann Sommer,87,83,82,85,89,50,GK
241486,Jules Koundé,87,84,47,74,79,86,"RB, CB"
212198,Bruno Fernandes,87,67,83,89,83,65,"CAM, CM"
243715,William Saliba,87,77,39,68,72,87,CB
246191,Julián Alvarez,87,85,87,81,87,57,ST
213331,Jonathan Tah,87,63,38,60,63,87,CB
239837,Alexis Mac Allister,87,66,82,85,85,78,"CM, CDM"
215698,Mike Maignan,87,84,83,85,88,64,GK
222665,Martin Ødegaard,87,68,79,88,87,67,"CM, CAM"
220901,David Raya,87,86,84,87,87,62,GK
241651,Viktor Gyökeres,87,90,86,73,81,36,ST
224232,Nicolò Barella,87,80,78,84,86,81,CM
232293,Victor Osimhen,87,92,84,65,81,42,ST
252145,Nuno Mendes,86,95,65,76,82,80,LB
205452,Antonio Rüdiger,86,79,55,72,70,84,CB
247827,Michael Olise,86,78,80,84,87,50,RW
231281,Trent Alexander-Arnold,86,76,72,89,80,80,RB
239818,Rúben Dias,86,59,39,69,69,86,CB
211110,Paulo Dybala,86,80,85,84,87,41,"CAM, ST"
247851,Bruno Guimarães,86,66,75,84,84,79,"CM, CDM"
256196,Willian Pacho,86,80,34,62,62,86,CB
237678,Ibrahima Konaté,86,77,34,63,69,86,CB
208128,Hakan Çalhanoğlu,86,71,81,87,82,81,"CDM, CM"
